Stufe;Place1;Place2;Place3;Place4;Place5;Longitude;Latitude;Zoom;Icon
4;DE;Brandenburg;Landkreis Elbe-Elster;Schacksdorf;;E13.7618;N51.6151;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Gorden;;E13.6269;N51.5332;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Finsterwalde;;E13.7066;N51.6339;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Lichterfeld;;E13.7781;N51.5976;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Lieskau;;E13.8086;N51.6173;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Fischwasser;;E13.6121;N51.5960;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Sallgast;;E13.8486;N51.5887;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Betten;;E13.7674;N51.6273;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Schadewitz;;E13.4821;N51.5607;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Lugau;;E13.5979;N51.6109;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Crinitz;;E13.7667;N51.7333;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Gahro;;E13.7246;N51.7380;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Babben;;E13.7856;N51.7126;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Goßmar;;E13.6829;N51.6905;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Bahren;;E13.7167;N51.7000;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Breitenau;;E13.7241;N51.6864;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Sonnewalde;;E13.6473;N51.6922;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Großkrausnik;;E13.6271;N51.7322;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Zeckerin;;E13.6321;N51.7112;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Pahlsdorf;;E13.6486;N51.7193;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Kleinkrausnik;;E13.5932;N51.7354;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Frankena;;E13.5932;N51.6580;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Tröbitz;;E13.4333;N51.6000;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Werenzhain;;E13.5322;N51.6546;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Prießen;;E13.4301;N51.6613;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Schilda;;E13.3833;N51.6000;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Brenitz;;E13.6007;N51.7023;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Schönborn;;E13.4897;N51.6002;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Hennersdorf;;E13.6069;N51.6369;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Buchhain;;E13.3898;N51.6453;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Dübrichen;;E13.4724;N51.6686;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Trebbus;;E13.5211;N51.6924;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Schönewalde;;E13.6025;N51.6790;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Friedersdorf;;E13.5726;N51.6985;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Nexdorf;;E13.3715;N51.6368;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Arenzhain;;E13.5092;N51.6735;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Doberlug-Kirchhain;;E13.5623;N51.6258;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Falkenberg/Elster;;E13.2364;N51.5875;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Elsterwerda;;E13.5200;N51.4604;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Haida;;E13.4679;N51.4793;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Werchau;;E13.3194;N51.7782;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Stolzenhain;;E13.1607;N51.8441;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Themesgrund;;E13.2500;N51.7667;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Herzberg (Elster);;E13.2333;N51.6833;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Heideeck;;E13.2000;N51.8333;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Wildberg;;E13.3167;N51.7833;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Bad Liebenwerda;;E13.3946;N51.5183;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Uebigau-Wahrenbrück;;E13.3333;N51.5167;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Kahla;;E13.5663;N51.4678;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Döllingen;;E13.5883;N51.4837;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Plessa;;E13.6167;N51.4667;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Schraden;;E13.6949;N51.4253;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Mühlberg (Elbe);;E13.2167;N51.4333;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Prösen;;E13.5501;N51.4153;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Großthiemig;;E13.6667;N51.3833;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Wainsdorf;;E13.5073;N51.4094;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Merzdorf;;E13.5333;N51.4000;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Reichenhain;;E13.4287;N51.4598;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Hirschfeld;;E13.6167;N51.3833;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Gröden;;E13.5667;N51.4000;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Saathain;;E13.4638;N51.4632;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Hohenleipisch;;E13.5500;N51.5000;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Dreska;;E13.5380;N51.4853;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Wehrhain;;E13.4186;N51.7213;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Schlieben;;E13.3830;N51.7238;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Hohenbucko;;E13.4667;N51.7667;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Kolochau;;E13.3177;N51.7268;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Freileben;;E13.4000;N51.7833;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Lebusa;;E13.4207;N51.7957;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Jagsal;;E13.3540;N51.6866;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Frankenhain;;E13.4154;N51.7027;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Malitschkendorf;;E13.3296;N51.6945;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Naundorf;;E13.4401;N51.7374;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Ölsig;;E13.3750;N51.6833;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Stechau;;E13.4701;N51.6974;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Schöna-Kolpien;;E13.4500;N51.8250;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Hillmersdorf;;E13.4873;N51.7091;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Proßmarke;;E13.4913;N51.7408;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Körba;;E13.3877;N51.8047;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Uebigau-Wahrenbrück;;E13.3333;N51.5167;12;
4;DE;Brandenburg;Landkreis Dahme-Spreewald;Schönefeld;;E13.5037;N52.3890;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Potsdam;;E13.0667;N52.4000;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Potsdam;;E13.0626;N52.4030;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Potsdam;;E12.9899;N52.4091;12;
